ticker,name,Search
FOX,21ST CENTRY FOX B CM,21st century fox
ATVI,ACTIVISION BLIZZARD,"Activision, blizzard"
ADBE,ADOBE SYSTEMS INC,adobe
AKAM,AKAMAI TECHNOLOGIES,akamai
ALXN,ALEXION PHARM INC,alexion
GOOGL,ALPHABET CL A CMN,alphabet
AMZN,AMAZON.COM INC,amazon
AAL,AMERICAN AIRLINES GP,american airlines
AMGN,AMGEN,amgen
ADI,ANALOG DEVICES CMN,analog devices
AAPL,APPLE INC.,apple
ADSK,AUTODESK INC,autodesk
AVGO,AVAGO TECHNOLOGIES L,avago
BIDU,BAIDU INC.,baidu
BIIB,BIOGEN INC CMN,biogen
BMRN,BIOMARIN PHARMACEUT,biomarin
CERN,CERNER CORP,cerner
CSCO,CISCO SYSTEMS INC,cisco
CTXS,CITRIX SYSTEMS INC,citrix
CTSH,COGNIZANT TECH SOL,cognizant
CMCSA,COMCAST CORP A,comcast
COST,COSTCO WHOLESALE,costco
DISCK,DISCOVERY COMM INC,discovery
DISH,DISH NETWORK CORP,dish network
DLTR,DOLLAR TREE INC,dollar tree
EBAY,EBAY INC.,ebay
EA,ELECTRONIC ARTS INC,electronic arts
EXPD,EXPEDITORS INTL,expeditors
FB,FACEBOOK INC,facebook
FAST,FASTENAL CO,fastenal
FISV,FISERV INC.,fiserv
GRMN,GARMIN LTD,garmin
GILD,GILEAD SCIENCES INC,gilead
ILMN,ILLUMINA INC.,illumina
INTC,INTEL CORP,intel
MAR,MARRIOT INT CL A,marriot
MAT,MATTEL INC,mattel
MSFT,MICROSOFT CORP,microsoft
MNST,MONSTER BEVERAGE CP,monster beverage
NTAP,NETAPP INC.,netapp
NFLX,NETFLIX INC.,netflix
NVDA,NVIDIA CORPORATION,nvidia
QCOM,QUALCOMM INC,qualcomm
STX,SEAGATE TECHNOLOGY,seagate
SWKS,SKYWORKS SOLUTIONS,skyworks
SPLS,STAPLES INC.,staples
SBUX,STARBUCKS CORP,starbucks
SYMC,SYMANTEC CORPORATION,symantec
TSLA,TESLA MOTORS INC,tesla
TXN,TEXAS INSTRUMENTS,texas instruments
TRIP,TRIPADVISOR INC.,tripadvisor
VIAB,VIACOM INC CL B,viacom
VOD,VODAFONE GRP PLC ADS,vodafone
WBA,WALGREENS BTS ALN CM,walgreens
YHOO,YAHOO! INC.,yahoo